--md5:f963657395284f8e7fb81ad81c8f75fc
Table_Quest_8 = { 
	[800000] = {id = 800000, QuestID = 80001, Class = {}, QuestName = '公会任务', GroupID = 32, Name = '奇妙的摄影', Type = 'guild', Branch = {}, RewardGroupID = 800000, Content = 'visit', Params = {npc=6091,dialog={85152,85153},uniqueid=6091,distance=3,symbol=1}, Map = 10001, TraceInfo = '', WhetherTrace = 1, Auto = 0, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[800001] = {id = 800001, QuestID = 80001, Class = {}, QuestName = '公会任务', GroupID = 32, Name = '奇妙的摄影', Type = 'guild', Branch = {}, RewardGroupID = 800000, Content = 'photo', Params = {focus=0,guild=1,num=1,status=5}, TraceInfo = '拍摄一张任一公会成员装死的照片', WhetherTrace = 1, Auto = 0, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[800002] = {id = 800002, QuestID = 80001, Class = {}, QuestName = '公会任务', GroupID = 32, Name = '奇妙的摄影', Type = 'guild', Branch = {}, RewardGroupID = 800000, Content = 'hint', Params = {msgid=2955}, TraceInfo = '', WhetherTrace = 1, Auto = 1, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[800003] = {id = 800003, QuestID = 80001, Class = {}, QuestName = '公会任务', GroupID = 32, Name = '奇妙的摄影', Type = 'guild', Branch = {}, RewardGroupID = 800000, Content = 'visit', Params = {npc=6091,dialog={85154},uniqueid=6091,distance=3,symbol=1}, Map = 10001, TraceInfo = '把拍摄的照片带给[npcName]', WhetherTrace = 1, Auto = 0, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[800004] = {id = 800004, QuestID = 80001, Class = {}, QuestName = '公会任务', GroupID = 32, Name = '奇妙的摄影', Type = 'guild', Branch = {}, RewardGroupID = 800000, Content = 'reward', Params = {id=510010}, Map = 10001, TraceInfo = '', WhetherTrace = 1, Auto = 1, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[800005] = {id = 800005, QuestID = 80001, Class = {}, QuestName = '公会任务', GroupID = 33, Name = '摄影的艺术', Type = 'guild', Branch = {}, RewardGroupID = 800005, Content = 'visit', Params = {npc=6091,dialog={85155,85156},uniqueid=6091,distance=3,symbol=1}, Map = 10001, TraceInfo = '', WhetherTrace = 1, Auto = 0, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[800006] = {id = 800006, QuestID = 80001, Class = {}, QuestName = '公会任务', GroupID = 33, Name = '摄影的艺术', Type = 'guild', Branch = {}, RewardGroupID = 800005, Content = 'photo', Params = {focus=0,guild=1,num=1,action=3}, TraceInfo = '拍摄一张任一公会成员坐下的照片', WhetherTrace = 1, Auto = 0, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[800007] = {id = 800007, QuestID = 80001, Class = {}, QuestName = '公会任务', GroupID = 33, Name = '摄影的艺术', Type = 'guild', Branch = {}, RewardGroupID = 800005, Content = 'hint', Params = {msgid=2955}, TraceInfo = '', WhetherTrace = 1, Auto = 1, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[800008] = {id = 800008, QuestID = 80001, Class = {}, QuestName = '公会任务', GroupID = 33, Name = '摄影的艺术', Type = 'guild', Branch = {}, RewardGroupID = 800005, Content = 'visit', Params = {npc=6091,dialog={85157},uniqueid=6091,distance=3,symbol=1}, Map = 10001, TraceInfo = '把拍摄的照片带给[npcName]', WhetherTrace = 1, Auto = 0, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[800009] = {id = 800009, QuestID = 80001, Class = {}, QuestName = '公会任务', GroupID = 33, Name = '摄影的艺术', Type = 'guild', Branch = {}, RewardGroupID = 800005, Content = 'reward', Params = {id=510010}, Map = 10001, TraceInfo = '', WhetherTrace = 1, Auto = 1, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[800010] = {id = 800010, QuestID = 80001, Class = {}, QuestName = '公会任务', GroupID = 34, Name = '美妙的音乐', Type = 'guild', Branch = {}, RewardGroupID = 800010, Content = 'visit', Params = {npc=6090,dialog={85158,85159},uniqueid=6090,distance=3,symbol=1}, Map = 10001, TraceInfo = '', WhetherTrace = 1, Auto = 0, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
