[PVE],,
[NPC],,
ID,UniqueID,Count
1001,59,1
1002,58,1
1004,22,1
1008,41,1
1008,47,1
1008,40,1
1008,45,1
1008,36,1
1008,39,1
1008,46,1
1008,37,1
1008,44,1
1008,42,1
1008,55,1
1008,52,1
1008,38,1
1008,43,1
1008,0,1
1008,26,1
1008,25,1
1009,21,1
1009,18,1
1009,29,1
1009,32,1
1009,57,1
1009,23,1
1012,12,1
1013,31,1
1014,14,1
1015,10153,1
1681,10154,1
1679,10156,1
1680,10157,1
1015,10158,1
1015,10152,1
1016,10,1
1017,17,1
1020,13,1
1021,24,1
1025,19,1
1045,16,1
1046,66,1
1047,27,1
1050,67,1
1058,1058,1
1075,3,1
1077,49,1
1078,1,1
1118,2,1
1119,48,1
1195,54,1
1196,11,1
1197,50,1
1210,53,1
1269,10151,1
1373,51,1
1374,34,1
1221,61,1
1222,62,1
1223,63,1
1224,64,1
1228,110,1
1217,300,1
1499,255,1
1501,8,1
1513,74,1
2195,2195,1
1550,35,1
1582,71,1
1239,1239,1
2122,69,1
2156,2156,1
2506,2506,1
10100,9,1
10100,60,1
10100,28,1
1022,1022,1
2158,33,1
2602,2602,1
2159,2159,1
2160,2160,1
2620,65,1
2631,72,1
2632,76,1
2633,77,1
3287,3287,1
1003,30,1
1235,101,1
3219,3219,1
4257,4257,1
4267,4267,1
4268,4268,1
4285,4285,1
4301,4301,1
4368,4368,1
4269,4269,1
4559,4559,1
4560,4560,1
1240,1240,1
6302,6302,1
6303,6303,1
2197,2197,1
8151,8151,1
6454,6454,1
4613,4613,1
1695,1695,1
1696,1696,1
1697,1697,1
6647,6647,1
6769,6769,1
6770,6770,1
6773,6773,1
6744,6744,1
6942,6942,1
6975,6975,1
1698,1698,1
2700,2700,1
54131,0,1
54130,0,1
7100,7100,1
7821,7821,1
5147,5147,1
5656,5656,1
5657,5657,1
5658,5658,1
5668,5668,1
5994,5994,1
5995,5995,1
5997,5997,1
5996,5996,1
1723,1723,1
1704,1704,1
5091,5091,1
5092,5092,1
1724,1724,1
5947,5947,1
5100,5100,1
7900,7900,1
4683,4683,1
4805,4805,1
4803,4803,1
4802,4802,1
4684,4684,1
4914,4914,1
4302,4302,1
4556,4556,1
4558,4558,1
[PVP],,
[NPC],,
ID,UniqueID,Count
1430,1,1
[Raid],9041,
55000,55000,
9078,9078,
9079,9079,
6303,2,
[Raid],9001,
9077,1,
9078,9078,
6303,2,
[Raid],9021,
9078,9078,
6303,2
