[PVE],,
[NPC],,
ID,UniqueID,Count
1596,1596,1
53403,0,1
53403,0,1
1058,1058,1
6455,6455,1
1016,1016,1
1195,1195,1
2159,2159,1
5105,5105,1
6457,6457,1
6456,6456,1
6459,6459,1
6460,6460,1
6461,6461,1
6462,6462,1
6463,6463,1
6464,6464,1
6465,6465,1
6466,6466,1
6467,6467,1
6468,6468,1
6469,6469,1
6470,6470,1
6471,6471,1
6472,6472,1
6473,6473,1
6475,6475,1
6474,6474,1
6493,6493,1
6494,6494,1
6495,6495,1
6496,6496,1
6509,6509,1
6498,6498,1
6499,6499,1
6500,6500,1
6501,6501,1
6502,6502,1
6503,6503,1
6504,6504,1
6505,6505,1
6506,6506,1
6507,6507,1
6497,6497,1
6508,6508,1
6510,6510,1
6511,6511,1
6512,6512,1
6513,6513,1
6514,6514,1
6515,6515,1
6516,6516,1
6550,6550,1
6549,6549,1
4608,4608,1
6560,6560,1
4615,4615,1
4614,4614,1
9200,9200,1
4617,4617,1
4618,4618,1
4616,4616,1
4619,4619,1
6577,6577,1
6578,6578,1
6579,6579,1
1550,1550,1
53429,0,1
53434,0,1
53434,0,1
53434,0,1
53436,0,1
6750,6750,1
53461,0,1
53461,0,1
53461,0,1
53461,0,1
6923,6923,1
6924,6924,1
6943,6943,1
5219,5219,1
5519,5519,1
4631,4631,1
54281,0,1
59029,0,1
59029,1,1
59029,2,1
59029,3,1
59029,4,1
59029,5,1
4865,4865,1
4864,4864,1
[Raid],64301,
6610,64301,
6611,64302,
6612,64303,
6613,64304,
6619,64311,
6620,64312,
6621,64313,
6618,64310,
6617,64309,
6616,64308,
6615,64307,
6614,64306,
6613,64305,
6622,64314,
6623,64315,
6623,64316,
6623,64317,
6623,64318,
6623,64319,
53431,64320,
53431,64321,
53431,64322,
53431,64323,
53431,64324,
6615,64325,
[Raid],64302,
1114,111400,
1114,111401,
1114,111402,
1114,111403,
6461,111404,
6714,111405,
6715,111406,
6716,111407,
6717,111408,
6718,111409,
6719,111410,
6643,111411,
6708,111412,
6709,111413,
6710,111414,
6736,111415,
6737,111416,
53441,111417,
53441,111418,
53441,111419,
6644,111420,
6711,111421,
6712,111422,
6713,111423,
6738,111424,
6739,111425,
53442,111426,
53442,111427,
53442,111428,
6625,111429,
6625,111430,
6645,111431,
6625,111432,
53443,111433,
6646,111434,
53444,111435,
[Raid],64415,
6393,65010,
6413,65011,
6412,65012,
6392,65013,
6414,65014
