[PVE],,
[NPC],,
ID,UniqueID,Count
7101,7101,1
7102,7102,1
7103,7103,1
7151,7151,1
51441,0,1
51441,0,1
51441,0,1
51441,0,1
54127,0,1
7153,7153,1
5114,5114,1
5118,5118,1
5146,0,1
5146,0,1
5146,0,1
5146,0,1
5146,0,1
5146,0,1
5146,0,1
5146,0,1
51443,0,1
51444,1,1
51444,2,1
51444,3,1
51442,1,1
51442,2,1
54132,0,1
7185,0,1
7185,0,1
54142,0,1
54141,0,1
54141,0,1
54141,0,1
54140,0,1
5123,5123,1
5124,5124,1
5125,5125,1
5126,5126,1
5127,5127,1
5128,5128,1
5129,5129,1
5130,5130,1
5131,5131,1
5145,0,1
5145,0,1
5145,0,1
5145,0,1
5145,0,1
5145,0,1
5145,0,1
5145,0,1
5145,0,1
5145,0,1
53541,0,1
53542,0,1
53543,0,1
53544,0,1
53545,0,1
53546,0,1
53546,0,1
53546,0,1
53546,0,1
5148,5148,1
7262,0,1
7262,0,1
7262,0,1
7262,0,1
7262,0,1
7262,0,1
7262,0,1
7262,0,1
7262,0,1
7262,0,1
7262,0,1
7261,7261,1
7260,7260,1
7259,7259,1
1058,1058,1
7268,7268,1
7270,7270,1
7269,7269,1
7271,7271,1
2159,2159,1
7189,7189,1
53551,0,1
53550,0,1
53552,0,1
53552,0,1
53552,0,1
5187,5187,1
5117,5117,1
5542,5542,1
5543,5543,1
5544,0,1
5544,0,1
5544,0,1
5544,0,1
5544,0,1
5544,0,1
5544,0,1
5544,0,1
[Raid],66202,
5189,1,
5193,2,
5194,3,
5195,4,
5195,5,
5195,6,
5195,7,
5190,8,
5190,9,
5541,10,
[Raid],64814,
7111,8,
7106,3,
7107,4,
7108,5,
7105,2,
7109,6,
7110,7,
7113,1,
7104,9,
7111,10,
[Raid],64815,
7165,1,
7162,2,
7166,3,
7167,4,
7168,5,
7138,6,
7136,7,
7139,8,
7163,9,
7137,10,
7164,11,
7175,12,
54128,13,
54128,14,
54128,15,
54128,16,
54128,17,
[Raid],64817,
7209,1,
7263,2,
7264,3,
7265,4,
7266,5,
7267,6,
[Raid],66201,
5189,1,
5190,2,
5191,3,
[Raid],64816,
7173,1,
7169,2,
7174,3,
7172,4,
7170,5,
7171,6,
54129,7,
[Raid],60105,
54194,1,
54195,2,
54196,3,
54201,4,
54198,5,
54199,6,
54200,7,
54197,8,
54202,9,
54203,10
