[PVE],,
[NPC],,
ID,UniqueID,Count
10040,0,10
10040,6,12
10040,1,12
10040,0,10
10040,0,10
10040,0,12
10041,0,10
10041,0,12
10041,3,12
10041,0,10
10041,0,10
10041,0,12
10041,0,12
10042,2,12
10042,2,12
10042,4,12
10042,2,12
10042,2,6
10043,0,3
10043,8,3
10043,0,8
10043,0,12
10043,0,18
10043,0,8
10044,0,10
10044,0,15
10044,0,10
10044,5,15
10045,0,4
10045,7,4
10045,0,4
10045,0,4
10045,0,4
10045,1,4
10051,0,10
40004,0,1
40001,0,1
40001,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
120040,0,1
3353,3353,1
