[PVE],,
[NPC],,
ID,UniqueID,Count
9100,9100,1
9101,9101,1
9102,9102,1
9103,9103,1
9104,9104,1
9107,9107,1
9105,9105,1
9106,9106,1
9109,9109,1
9110,9110,1
9108,9108,1
9111,9111,1
9112,9112,1
9113,9113,1
9114,91141,1
9114,91142,1
9114,91143,1
9115,91151,1
9115,91152,1
9115,91153,1
9118,9118,1
9117,9117,1
9119,9119,1
9120,9120,1
9121,9121,1
9122,9122,1
9123,9123,1
9127,9127,1
9124,9124,1
9114,91144,1
9114,91145,1
9128,9128,1
9125,91251,1
9125,91252,1
9126,9126,1
9116,9116,1
9134,9134,1
9131,9131,1
9129,91291,1
9129,91292,1
9129,91293,1
9129,91294,1
9129,91295,1
9129,91296,1
9129,91297,1
9129,91298,1
9129,91299,1
9129,91290,1
9129,9129,1
9132,91321,1
9132,91322,1
9133,9133,1
9132,91322,1
9132,91322,1
9132,91322,1
9132,91322,1
9132,91322,1
[Raid],10007
