[PVE],,
[NPC],,
ID,UniqueID,Count
10017,8,1
10017,11,1
10017,33,1
10017,15,1
10017,3,1
10017,26,1
10017,27,1
10017,29,1
10017,14,1
10017,28,1
10017,19,1
10017,4,1
10017,2,1
10017,22,1
10017,5,1
10017,32,1
10017,31,1
10017,20,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10019,6,12
10019,0,6
10019,0,16
10019,0,6
10019,0,6
10019,21,6
10021,13,3
10021,17,6
10022,1,4
10022,7,6
10022,30,12
10022,12,10
10022,16,8
10022,23,6
10022,18,6
10022,9,5
10022,24,13
10022,25,13
40003,0,1
1401,34,1
40003,0,1
1058,35,1
54150,0,2
54150,0,2
54150,0,2
54150,0,2
54150,0,2
54150,0,2
