[PVE],,
[NPC],,
ID,UniqueID,Count
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,4
10017,0,5
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10017,0,1
10023,0,12
10023,0,12
10023,0,12
10023,23,20
10024,0,6
10024,25,8
10024,0,6
10024,0,6
10025,0,12
10025,0,10
10025,24,25
40004,0,1
40004,0,1
50121,0,1
50131,0,1
1058,1058,1
1151,17,1
1157,14,1
1162,13,1
1160,5,1
1163,3,1
1159,1,1
1158,2,1
1164,10,0
1164,7,0
1165,8,1
1165,4,1
1165,12,1
1165,15,1
1165,6,1
1165,9,1
1165,11,5
1402,18,1
1156,19,1
1158,20,1
1161,21,1
1161,22,1
2502,27,1
2500,26,1
2134,2134,1
4279,4279,1
4280,4280,1
53260,0,1
[Raid],61102,
52290,52290,
52300,52300,
[Raid],61101,
52280,52280
