[PVE],,
[NPC],,
ID,UniqueID,Count
1110,9,1
1015,10151,1
1100,23,1
1099,14,1
1098,27,1
1097,20,1
1111,15,1
1112,24,1
2300,10,1
2300,12,1
2300,1,1
2300,6,1
1107,22,1
1076,29,1
1375,26,1
1019,8,1
1108,30,1
1109,21,1
1117,19,1
1117,11,1
1117,17,1
1117,18,1
1117,3,1
1117,5,1
1117,4,1
1117,25,1
1058,1058,1
1236,102,1
1400,28,1
1258,100,1
1268,2,1
1518,31,1
1602,51,1
1631,32,1
1668,1668,1
1669,1669,1
1670,1670,1
1674,1674,1
1673,1673,1
1672,1672,1
1671,1671,1
1046,7,1
2159,13,1
2280,2280,1
2279,2279,1
2285,2285,1
2284,2284,1
2621,16,1
2627,2627,1
1016,1016,1
2163,2163,1
2169,2169,1
1583,73,1
1525,33,1
3290,3290,1
3291,3291,1
2182,34,1
1195,1195,1
3342,3342,1
6745,6745,1
54045,0,1
5019,5019,1
[PVP],,
[NPC],,
ID,UniqueID,Count
1431,1,1
[Raid],60701,
52950,521000,
52950,521001,
52960,521002,
52960,521003,
52960,521004,
52960,521005,
52960,521006,
52970,521007,
4415,521008,
4530,521009,
4530,521010,
4530,521011,
4530,521012,
4530,521013,
4530,521014,
4530,521015,
4416,521016,
4417,521017,
4418,521018,
52990,521019,
52990,521020,
52990,521021,
52990,521022,
52990,521024,
52990,521023,
4410,521025,
53000,521026,
52970,521027,
53000,521028,
4530,521029,
53020,521030,
53020,521031,
53020,521032,
53020,521033,
53010,521034,
53030,521035,
4409,521036,
4414,521037,
4419,521038,
4420,521039,
4421,521040,
4410,521041,
4408,521042,
4411,521043,
4412,521044,
4413,521045,
[Raid],9002,
9075,1,
9078,9078,
6303,2,
[Raid],71007
