[PVE],,
[NPC],,
ID,UniqueID,Count
1235,101,1
1058,1058,1
1523,1523,1
1015,10151,1
1265,1,1
2137,2137,1
2538,2538,1
2543,2543,1
2541,2541,1
2539,2539,1
2540,2540,1
2544,2544,1
2542,2542,1
2527,2527,1
2528,2528,1
2529,2529,1
2536,2536,1
1676,1676,1
2571,2571,1
1591,1591,1
1592,1592,1
2158,2158,1
1016,1016,1
2630,2630,1
3054,3,1
3055,0,1
3056,0,1
3057,3057,1
3058,0,1
3060,3060,1
3061,3061,1
3062,11,1
3063,3063,1
3064,0,1
3065,3065,1
3066,0,1
3067,0,1
3068,0,1
3069,0,1
3070,0,1
3071,0,1
3072,0,1
3073,3073,1
2159,2159,1
2614,4,1
2624,6,1
2626,7,1
2165,2165,1
2171,2171,1
2643,2,1
2644,8,1
2645,9,1
2646,10,1
1195,1195,1
2618,5,1
3340,3340,1
3341,3341,1
3344,3344,1
3345,3345,1
3357,3357,1
3366,3366,1
4286,4286,1
1685,1685,1
4378,4378,1
4379,4379,1
53421,0,1
53421,0,1
53421,0,1
53421,0,1
53421,0,1
6574,6574,1
10138,0,1
6748,6748,1
5217,5217,1
5218,5218,1
7068,0,1
7068,0,1
7068,0,1
54122,0,1
54122,0,1
54122,0,1
54122,0,1
53540,0,1
54158,0,2
54158,0,2
54158,0,2
54158,0,2
54158,0,2
54158,0,2
5018,5018,1
56019,0,1
56019,0,1
56019,0,1
56019,0,1
56019,0,1
54351,0,1
[Raid],61801,
2527,5,
2565,1,
2566,2,
2567,3,
2568,4,
2534,6,
2569,2569,
2564,2564,
51160,51160,
51171,51171,
2534,7,
2567,31,
2566,21,
2568,41,
2565,11
