[PVE],,
[NPC],,
ID,UniqueID,Count
4879,4879,1
4997,4997,1
[Raid],60134,
4881,1,
4882,2,
4883,3,
4884,4,
4885,5,
4886,6,
4887,7,
4888,8,
4889,9,
4890,10,
4891,11,
4892,12,
8778,13,
8779,14,
8775,15,
8776,16,
8775,17,
8776,18,
8778,19,
8779,20,
8783,21,
8784,22,
8785,23,
8780,24,
8781,25,
8782,26,
[Raid],60129,
54418,1,
54418,2,
54418,3,
54418,4,
54418,5,
54419,6,
54419,7,
54419,8,
54419,9,
54419,10,
54420,11,
54420,12,
54420,13,
54420,14,
54420,15,
54421,16,
4881,17,
4882,18,
4883,19,
4884,20,
4885,21,
4886,22,
4887,23,
4888,24,
4889,25,
4890,26,
4891,27,
4892,28,
[Raid],60133,
4881,1,
4882,2,
4883,3,
4884,4,
4885,5,
4886,6,
4887,7,
4888,8,
4889,9,
4890,10,
4891,11,
4892,12,
54425,13,
54425,14,
54425,15,
54425,16,
54425,17,
54426,18,
54426,19,
54426,20,
54426,21,
54426,22,
54427,23,
54428,24,
54429,25,
[Raid],60131,
4881,17,
4882,18,
4883,19,
4884,20,
4885,21,
4886,22,
4887,23,
4888,24,
4889,25,
4890,26,
4891,27,
4892,28,
4996,29,
[Raid],60128,
54406,1,
54407,2,
54408,3,
54409,4,
54410,5,
54411,6,
54412,7,
54413,8,
54414,9,
54415,10,
54416,11,
54417,12,
[Raid],60132,
8736,1,
8737,2,
8738,3,
8739,4,
8740,5,
8741,6,
4999,7
