[PVE],,
[NPC],,
ID,UniqueID,Count
6974,6974,1
54001,0,1
54001,0,1
54001,0,1
54001,0,1
54001,0,1
54002,0,1
54002,0,1
54002,0,1
54002,0,1
54002,0,1
53518,0,1
53519,0,1
53520,0,1
53521,0,1
53522,0,1
[Raid],64809,
5336,1,
5325,6,
5334,2,
5333,3,
5316,7,
5335,4,
5337,5,
54024,9,
54024,10,
54024,11,
54024,12,
54024,13,
54024,14,
54024,15,
54025,16,
5341,8,
5339,17,
5338,18,
[Raid],64802,
6994,1,
6973,2,
5250,3,
5251,4,
5252,5,
5253,6,
5254,7,
5255,8,
5256,9,
[Raid],64810,
5325,1,
5335,2,
5338,3,
5316,4,
5221,5,
5340,6,
[Raid],64801,
6976,1,
6973,2,
5230,3,
5231,4,
5232,5,
5233,6,
5234,7,
5235,8,
5236,9,
5237,10,
5230,11,
5231,12,
5232,13,
5233,14,
5234,15,
5235,16,
5236,17,
5237,18,
6978,19,
6979,20,
6980,21,
6976,22,
53512,23,
6982,24,
6981,25,
5238,26,
5239,27,
5240,28,
5241,29,
5230,30,
[Raid],64803,
6994,1,
53523,2,
6981,3,
5249,4,
[Raid],64806,
5317,1,
54008,3,
54008,2,
54009,4,
54009,5,
54009,6,
54010,7,
54010,8,
5316,11,
5318,9,
54011,10,
54012,12,
54013,13,
[Raid],64805,
5310,1,
5311,2,
5312,3,
5313,4,
54003,5,
54003,6,
54003,7,
54003,8,
54003,9,
54003,10,
54003,11,
54003,12,
54004,13,
54005,14,
54004,15,
54005,16,
54004,17,
54005,18,
5315,19,
54006,20,
54006,21,
54006,22,
54006,23,
54006,24,
54006,25,
54027,26,
54026,27,
54007,28,
[Raid],64807,
5226,1,
5227,2,
5228,3,
5258,4,
5259,5,
5260,6,
5261,7,
5262,8,
53525,9,
53525,10,
53525,11,
53525,12,
53525,13,
5263,14,
5264,15,
5265,16,
5266,17,
5267,18,
53526,19,
53526,20,
53526,21,
53526,22,
53526,23,
53527,24,
5268,25,
5269,26,
5229,27,
5270,28,
5271,29,
53529,30,
53528,31,
53528,32,
53528,33,
53528,34,
5273,35,
5274,36
