[PVE],,
[NPC],,
ID,UniqueID,Count
1058,1058,1
10040,0,18
10041,0,18
10041,0,18
10042,0,18
10047,10,100
10048,1,90
10046,9,90
40003,0,1
40003,0,1
40003,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
110006,0,1
3325,3325,1
3328,3328,1
3326,3326,1
3327,3327,1
3331,3331,1
3330,3330,1
3323,3323,1
3324,3324,1
3329,3329,1
51463,0,1
51463,0,1
51463,0,1
3334,3334,1
3332,3332,1
3333,3333,1
51464,0,1
51464,0,1
51464,0,1
51464,0,1
51464,0,1
51464,0,1
51464,0,1
51464,0,1
51464,0,1
51464,0,1
51465,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51467,0,1
51466,0,1
51466,0,1
51466,0,1
51466,0,1
51466,0,1
51464,0,1
51464,0,1
51464,0,1
51464,0,1
51464,0,1
51464,0,1
51464,0,1
51464,0,1
51464,0,1
51464,0,1
4316,4316,1
4317,4317,1
4318,4318,1
56002,0,1
56002,0,1
56002,0,1
56002,0,1
56002,0,1
[Raid],63501,
52440,52440,
[Raid],80001,
0,100,
0,101,
0,102,
0,103,
0,104,
0,105,
0,106,
0,107,
0,108,
0,109,
0,110,
0,111,
0,112,
0,113,
0,114,
0,115,
0,116,
0,117,
0,118,
0,119,
0,120,
0,121,
0,122,
0,123,
0,124,
0,125,
0,126,
0,127,
0,128,
0,129,
0,130,
0,131,
0,132,
0,133,
0,134,
0,135,
0,136,
0,137,
0,138,
0,139,
0,140,
0,200,
0,201,
0,202,
0,203,
0,204,
0,205,
0,206,
0,207,
0,208,
0,209,
0,300,
0,301,
0,302,
0,303,
0,304,
0,305,
0,306,
0,307,
0,308,
0,309,
0,310,
0,311,
[Raid],63208,
4249,101061,
4250,101062,
4251,101063,
4252,101064,
4253,101065,
4254,101066,
[Raid],63502,
52450,52450,
52460,52460
