[PVE],,
[NPC],,
ID,UniqueID,Count
1058,1058,1
1322,2,1
10040,0,18
10041,0,18
10041,0,18
10042,0,18
10047,10,100
10048,2,90
10046,9,90
10097,12,25
40003,0,1
40003,0,1
40003,0,1
40003,0,1
40003,0,1
40003,0,1
40003,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
40012,0,1
[Raid],50018,
100581,1,
100581,2,
100581,3,
100591,4,
100581,5,
100591,6,
100581,7,
100591,8,
100581,9,
100581,10,
100581,11,
100581,12,
100581,13,
100581,14,
100581,15,
100581,16,
100581,17,
100581,18,
100581,19,
100581,20,
100591,21,
100591,22,
100591,23,
100591,24,
100591,25,
100591,26,
100591,30,
100591,31,
100591,32,
100591,33,
100561,34,
100561,35,
100561,36,
100561,37,
100561,38,
100581,39,
100581,40,
100581,41,
100581,42,
100581,43,
100581,44,
100581,45,
100581,46,
100581,47,
100581,48,
100581,49,
100551,50,
100551,51,
100551,52,
100551,53,
100551,54,
100551,55,
100551,56,
100551,57,
100571,58,
100571,59,
101081,60,
100551,61,
100551,62,
100551,63,
100551,64,
100551,65,
50183,200,
50183,201,
50183,202,
50183,203,
50183,204,
50183,205,
50185,206,
50185,207,
50185,208,
50183,209,
50183,210,
50183,211,
50183,212,
50183,213,
50183,214,
50183,215,
50183,216,
50183,217,
50183,218,
[Raid],50011,
50183,200,
50183,201,
50183,202,
50183,203,
50183,204,
50183,205,
50183,206,
50183,207,
50183,208,
50183,209,
50183,210,
50183,211,
50183,212,
50183,213,
50183,214,
100421,1,
100421,2,
100421,3,
100421,4,
100421,5,
100421,6,
100421,7,
100421,8,
100421,9,
100421,10,
100421,11,
100421,12,
100421,13,
100421,14,
100421,15,
100421,16,
100441,17,
100441,18,
100441,19,
100441,20,
100461,21,
100461,22,
100461,23,
100461,24,
100441,25,
100441,26,
100441,27,
100441,28,
100992,30,
100992,31,
100992,32,
100451,33,
100451,34,
100451,35,
100992,38,
100992,37,
100992,36,
100441,39,
100441,40,
100441,41,
100471,50,
100471,51,
100471,52,
100471,53,
100471,54,
100441,55,
100441,56,
100441,57,
100441,58,
100441,59,
100992,60,
100992,61,
102481,62,
[Raid],50002,
100221,1,
100221,2,
100221,3,
100191,4,
100191,5,
100191,6,
100191,7,
100221,8,
100221,9,
100221,10,
100221,11,
100221,12,
100221,13,
100221,14,
100221,15,
100191,16,
100191,17,
50183,100,
50183,101,
50183,102,
100221,18,
100221,19,
100221,20,
100191,21,
100191,22,
101031,23,
[Raid],50001,
100201,1,
100201,2,
100191,3,
100201,4,
100201,5,
100191,6,
100191,7,
100191,8,
100191,9,
100191,10,
100221,11,
100221,12,
100221,13,
100221,14,
100221,15,
100221,16,
100221,17,
100221,18,
100191,19,
100191,20,
102191,21,
[Raid],50020,
100641,1,
100641,2,
100641,3,
100641,4,
100621,5,
100641,6,
100621,7,
100641,8,
100621,9,
100581,10,
100521,11,
100521,12,
100521,13,
100521,14,
100521,15,
100521,16,
100521,17,
100521,18,
100521,19,
100521,20,
100521,21,
100521,22,
101281,23,
100521,24,
100521,25,
100521,26,
100521,27,
100641,30,
100641,31,
100641,32,
100641,33,
100621,34,
100621,35,
100621,36,
100631,37,
100631,38,
100631,39,
100631,40,
100631,41,
100631,42,
100621,50,
100621,51,
100621,52,
100641,53,
100641,54,
100621,55,
100621,56,
100621,57,
100631,59,
100631,58,
50183,200,
50183,201,
50183,202,
50183,203,
50184,204,
50184,205,
50184,206,
50184,207,
[Raid],50012,
50183,202,
50183,201,
50183,200,
50183,203,
50183,204,
50183,205,
50183,206,
50183,207,
50183,208,
50183,209,
50183,210,
50183,211,
50183,214,
50183,213,
50183,212,
50183,215,
50183,216,
50183,217,
100992,1,
100992,2,
100992,3,
100441,4,
100441,5,
100441,6,
100992,7,
100992,8,
100992,9,
100451,10,
100451,11,
100451,12,
100491,13,
100491,14,
100491,15,
100491,16,
100491,17,
100491,18,
100992,20,
100992,21,
100992,22,
100992,23,
100992,24,
100992,30,
100992,31,
100992,32,
100992,33,
100992,34,
100992,35,
100451,36,
100451,37,
100451,38,
100451,39,
100441,40,
100441,41,
100992,42,
100992,43,
100992,44,
100441,45,
100441,46,
100441,47,
100441,48,
100441,49,
100992,50,
100992,51,
100992,52,
100441,60,
100441,61,
101241,62,
100441,63,
100441,64,
100421,65,
100421,66,
100421,67,
100421,68,
[Raid],50034,
104121,1,
104121,2,
104121,3,
104111,4,
104121,5,
104111,6,
104121,7,
104111,8,
104121,9,
104141,10,
104141,11,
104141,12,
104111,13,
104111,14,
104111,15,
104121,16,
104121,17,
104121,18,
104121,19,
104131,20,
104131,21,
104131,22,
101141,23,
104131,24,
104141,25,
104141,26,
104141,27,
104131,30,
104131,31,
104141,32,
104141,33,
104141,34,
104141,35,
104141,36,
104131,37,
104131,38,
104131,39,
104131,40,
104131,41,
104131,42,
104121,50,
104121,51,
104121,52,
104121,53,
104121,54,
104121,55,
104121,56,
104121,57,
104121,59,
104141,58,
[Raid],50040,
104271,1,
104271,2,
104271,3,
104251,4,
104251,5,
104251,6,
104261,7,
104261,8,
104261,9,
104271,10,
104271,11,
104271,12,
104271,13,
104271,14,
104271,15,
104271,16,
104271,17,
104271,18,
104251,19,
104251,20,
104271,21,
104271,22,
104271,23,
104271,24,
101411,25,
104271,26,
104271,27,
104281,30,
104281,31,
104141,32,
104261,33,
