[PVE],,
[NPC],,
ID,UniqueID,Count
1058,1058,1
6941,6941,1
6950,6950,1
1597,1597,1
6951,6951,1
1016,1016,1
2159,2159,1
1195,1195,1
6946,6946,1
6945,6945,1
6947,6947,1
6948,6948,1
6949,6949,1
6952,6952,1
6953,6953,1
6954,6954,1
6955,6955,1
6956,6956,1
6960,6960,1
6961,6961,1
6957,6957,1
6958,6958,1
6962,6962,1
6959,6959,1
6963,6963,1
6965,6965,1
6964,6964,1
6966,6966,1
5202,5202,1
6968,6968,1
6969,6969,1
6970,6970,1
6971,6971,1
6972,6972,1
6944,6944,1
6993,6993,1
6983,6983,1
6984,6984,1
6990,6990,1
6991,6991,1
6992,6992,1
5201,5201,1
53510,0,1
53511,0,1
5300,5300,1
5301,5301,1
5302,0,1
5302,0,1
5302,0,1
5302,0,1
5302,0,1
5302,0,1
5302,0,1
54000,0,1
54014,0,1
54014,0,1
54016,0,1
54015,0,1
54017,0,1
54017,0,1
54017,0,1
54017,0,1
54017,0,1
54018,0,1
54018,0,1
54018,0,1
54018,0,1
54018,0,1
5351,5351,1
5352,5352,1
5347,5347,1
5381,5381,1
5382,5382,1
5383,5383,1
5346,5346,1
5349,5349,1
5348,5348,1
5344,5344,1
5345,5345,1
5350,5350,1
5343,5343,1
5384,5384,1
5342,5342,1
54028,0,1
54028,0,1
54029,0,1
54030,0,1
5391,0,1
5391,0,1
5391,0,1
5391,0,1
5391,0,1
5392,0,1
5392,0,1
5392,0,1
5392,0,1
5392,0,1
5392,0,1
5392,0,1
53508,0,1
53508,0,1
53508,0,1
53509,0,1
53509,0,1
53509,0,1
53533,0,1
53533,0,1
53534,0,1
53534,0,1
53534,0,1
53533,0,1
54043,0,1
54042,0,1
54044,54044,1
54057,0,1
54057,0,1
54057,0,1
54059,0,1
5518,5518,1
5499,0,1
5485,0,1
5486,0,1
54061,0,1
53538,0,1
53539,0,1
54063,0,1
54064,0,1
5600,5600,1
54109,0,1
5629,0,1
5629,0,1
5629,0,1
5629,0,1
5629,0,1
5629,0,1
5629,0,1
5629,0,1
5629,0,1
5629,0,1
54121,0,1
5005,5005,1
5021,5021,1
5023,0,1
5023,0,1
5023,0,1
5024,0,1
5024,0,1
5024,0,1
5025,0,1
5025,0,1
5025,0,1
5026,0,1
5026,0,1
5026,0,1
5028,5028,1
5029,5029,1
[Raid],64804,
5205,1,
5206,2,
5207,3,
5208,4,
5209,5,
5210,6,
5211,7,
5212,8,
5213,9,
5214,10,
5215,11,
5216,12,
53535,13,
53535,14,
53535,15,
53535,16,
53535,17,
53536,18,
53536,19,
53536,20,
53536,21,
53536,22
